Inches,Pixels
60.0,413
60.5,411
61.0,409
61.5,407
62.0,405
62.5,403
63.0,401
63.5,399
64.0,397
64.5,395
65.0,393
65.5,391
66.0,389
66.5,387
67.0,385
67.5,384
68.0,382
68.5,380
69.0,378
69.5,376
70.0,375
70.5,373
71.0,371
71.5,369
72.0,368
72.5,366
73.0,364
73.5,363
74.0,361
74.5,359
75.0,358
75.5,356
76.0,354
76.5,353
77.0,351
77.5,350
78.0,348
78.5,347
79.0,345
79.5,344
80.0,342
80.5,341
81.0,339
81.5,338
82.0,337
82.5,335
83.0,334
83.5,332
84.0,331
84.5,330
85.0,328
85.5,327
86.0,326
86.5,324
87.0,323
87.5,322
88.0,320
88.5,319
89.0,318
89.5,317
90.0,315
90.5,314
91.0,313
91.5,312
92.0,311
92.5,309
93.0,308
93.5,307
94.0,306
94.5,305
95.0,304
95.5,302
96.0,301
96.5,300
97.0,299
97.5,298
98.0,297
98.5,296
99.0,295
99.5,294
100.0,293
100.5,292
101.0,291
101.5,290
102.0,289
102.5,288
103.0,287
103.5,286
104.0,285
104.5,284
105.0,283
105.5,282
106.0,281
106.5,280
107.0,279
107.5,278
108.0,277
108.5,276
109.0,275
109.5,274
110.0,274
110.5,273
111.0,272
111.5,271
112.0,270
112.5,269
113.0,268
113.5,267
114.0,267
114.5,266
115.0,265
115.5,264
116.0,263
116.5,263
117.0,262
117.5,261
118.0,260
118.5,259
119.0,259
119.5,258
120.0,257
120.5,256
121.0,255
121.5,255
122.0,254
122.5,253
123.0,252
123.5,252
124.0,251
124.5,250
125.0,250
125.5,249
126.0,248
126.5,247
127.0,247
127.5,246
128.0,245
128.5,245
129.0,244
129.5,243
130.0,243
130.5,242
131.0,241
131.5,241
132.0,240
132.5,239
133.0,239
133.5,238
134.0,237
134.5,237
135.0,236
135.5,235
136.0,235
136.5,234
137.0,234
137.5,233
138.0,232
138.5,232
139.0,231
139.5,230
140.0,230
140.5,229
141.0,229
141.5,228
142.0,227
142.5,227
143.0,226
143.5,226
144.0,225
144.5,225
145.0,224
145.5,223
146.0,223
146.5,222
147.0,222
147.5,221
148.0,221
148.5,220
149.0,220
149.5,219
150.0,218
150.5,218
151.0,217
151.5,217
152.0,216
152.5,216
153.0,215
153.5,215
154.0,214
154.5,214
155.0,213
155.5,213
156.0,212
156.5,212
157.0,211
157.5,211
158.0,210
158.5,210
159.0,209
159.5,209
160.0,208
160.5,208
161.0,207
161.5,207
162.0,206
162.5,206
163.0,205
163.5,205
164.0,204
164.5,204
165.0,203
165.5,203
166.0,202
166.5,202
167.0,201
167.5,201
168.0,200
168.5,200
169.0,200
169.5,199
170.0,199
170.5,198
171.0,198
171.5,197
172.0,197
172.5,196
173.0,196
173.5,195
174.0,195
174.5,195
175.0,194
175.5,194
176.0,193
176.5,193
177.0,192
177.5,192
178.0,192
178.5,191
179.0,191
179.5,190
180.0,190
180.5,189
181.0,189
181.5,189
182.0,188
182.5,188
183.0,187
183.5,187
184.0,187
184.5,186
185.0,186
185.5,185
186.0,185
186.5,184
187.0,184
187.5,184
188.0,183
188.5,183
189.0,183
189.5,182
190.0,182
190.5,181
191.0,181
191.5,181
192.0,180
192.5,180
193.0,179
193.5,179
194.0,179
194.5,178
195.0,178
195.5,178
196.0,177
196.5,177
197.0,176
197.5,176
198.0,176
198.5,175
199.0,175
199.5,175
200.0,174
200.5,174
201.0,174
201.5,173
202.0,173
202.5,172
203.0,172
203.5,172
204.0,171
204.5,171
205.0,171
205.5,170
206.0,170
206.5,170
207.0,169
207.5,169
208.0,169
208.5,168
209.0,168
209.5,168
210.0,167
210.5,167
211.0,167
211.5,166
212.0,166
212.5,166
213.0,165
213.5,165
214.0,165
214.5,164
215.0,164
215.5,164
216.0,164
216.5,163
217.0,163
217.5,163
218.0,162
218.5,162
219.0,162
219.5,161
220.0,161
220.5,161
221.0,160
221.5,160
222.0,160
222.5,160
223.0,159
223.5,159
224.0,159
224.5,158
225.0,158
225.5,158
226.0,158
226.5,157
227.0,157
227.5,157
228.0,156
228.5,156
229.0,156
229.5,156
230.0,155
230.5,155
231.0,155
231.5,154
232.0,154
232.5,154
233.0,154
233.5,153
234.0,153
234.5,153
235.0,153
235.5,152
236.0,152
236.5,152
237.0,152
237.5,151
238.0,151
238.5,151
239.0,151
239.5,150
240.0,150
240.5,150
241.0,150
241.5,149
242.0,149
242.5,149
243.0,149
243.5,148
244.0,148
244.5,148
245.0,148
245.5,147
246.0,147
246.5,147
247.0,147
247.5,146
248.0,146
248.5,146
249.0,146
249.5,145
250.0,145
250.5,145
251.0,145
251.5,144
252.0,144
252.5,144
253.0,144
253.5,144
254.0,143
254.5,143
255.0,143
255.5,143
256.0,142
256.5,142
257.0,142
257.5,142
258.0,141
258.5,141
259.0,141
259.5,141
260.0,141
260.5,140
261.0,140
261.5,140
262.0,140
262.5,139
263.0,139
263.5,139
264.0,139
264.5,138
265.0,138
265.5,138
266.0,138
266.5,138
267.0,137
267.5,137
268.0,137
268.5,137
269.0,136
269.5,136
270.0,136
270.5,136
271.0,135
271.5,135
272.0,135
272.5,135
273.0,135
273.5,134
274.0,134
274.5,134
275.0,134
275.5,133
276.0,133
276.5,133
277.0,133
277.5,132
278.0,132
278.5,132
279.0,132
279.5,131
280.0,131
280.5,131
281.0,131
281.5,130
282.0,130
282.5,130
283.0,130
283.5,129
284.0,129
284.5,129
285.0,128
285.5,128
286.0,128
286.5,128
287.0,127
287.5,127
288.0,127
288.5,126
289.0,126
289.5,126
290.0,126
290.5,125
291.0,125
291.5,125
292.0,124
